,medal_type,medal_code,medal_date,athlete_name,athlete_sex,athlete_link,country_code,discipline_code,event,country,discipline
1919,Bronze Medal,3,2021-08-07 00:00:00.0,GOULDING Chris,M,../../../en/results/basketball/athlete-profile-n1326482-goulding-chris.htm,AUS,BKB,Men,Australia,Basketball
1920,Bronze Medal,3,2021-08-07 00:00:00.0,INGLES Joe,M,../../../en/results/basketball/athlete-profile-n1326484-ingles-joe.htm,AUS,BKB,Men,Australia,Basketball
1921,Bronze Medal,3,2021-08-07 00:00:00.0,KAY Nic,M,../../../en/results/basketball/athlete-profile-n1326485-kay-nic.htm,AUS,BKB,Men,Australia,Basketball
1922,Bronze Medal,3,2021-08-07 00:00:00.0,LANDALE Jock,M,../../../en/results/basketball/athlete-profile-n1326486-landale-jock.htm,AUS,BKB,Men,Australia,Basketball
1923,Bronze Medal,3,2021-08-07 00:00:00.0,MILLS Patty,M,../../../en/results/basketball/athlete-profile-n1326488-mills-patty.htm,AUS,BKB,Men,Australia,Basketball
1924,Bronze Medal,3,2021-08-07 00:00:00.0,THYBULLE Matisse,M,../../../en/results/basketball/athlete-profile-n1326490-thybulle-matisse.htm,AUS,BKB,Men,Australia,Basketball
1925,Bronze Medal,3,2021-08-07 00:00:00.0,REATH Duop Thomas,M,../../../en/results/basketball/athlete-profile-n1483479-reath-duop-thomas.htm,AUS,BKB,Men,Australia,Basketball
1926,Bronze Medal,3,2021-08-07 00:00:00.0,SOBEY Nathan,M,../../../en/results/basketball/athlete-profile-n1729970-sobey-nathan.htm,AUS,BKB,Men,Australia,Basketball
1927,Gold Medal,1,2021-08-07 00:00:00.0,MOL Anders Berntsen,M,../../../en/results/beach-volleyball/athlete-profile-n1343608-mol-anders-berntsen.htm,NOR,VBV,Men,Norway,Beach Volleyball
1928,Gold Medal,1,2021-08-07 00:00:00.0,SORUM Christian Sandlie,M,../../../en/results/beach-volleyball/athlete-profile-n1343609-sorum-christian-sandlie.htm,NOR,VBV,Men,Norway,Beach Volleyball
1929,Silver Medal,2,2021-08-07 00:00:00.0,KRASILNIKOV Viacheslav,M,../../../en/results/beach-volleyball/athlete-profile-n1428871-krasilnikov-viacheslav.htm,ROC,VBV,Men,ROC,Beach Volleyball
1930,Silver Medal,2,2021-08-07 00:00:00.0,STOYANOVSKIY Oleg,M,../../../en/results/beach-volleyball/athlete-profile-n1428872-stoyanovskiy-oleg.htm,ROC,VBV,Men,ROC,Beach Volleyball
1931,Bronze Medal,3,2021-08-07 00:00:00.0,YOUNOUSSE Cherif,M,../../../en/results/beach-volleyball/athlete-profile-n1435321-younousse-cherif.htm,QAT,VBV,Men,Qatar,Beach Volleyball
1932,Bronze Medal,3,2021-08-07 00:00:00.0,TIJAN Ahmed,M,../../../en/results/beach-volleyball/athlete-profile-n1435323-tijan-ahmed.htm,QAT,VBV,Men,Qatar,Beach Volleyball
1933,Gold Medal,1,2021-08-07 00:00:00.0,YAFAI Galal,M,../../../en/results/boxing/athlete-profile-n1443515-yafai-galal.htm,GBR,BOX,Men's Fly (48-52kg),Great Britain,Boxing
1934,Silver Medal,2,2021-08-07 00:00:00.0,PAALAM Carlo,M,../../../en/results/boxing/athlete-profile-n1464302-paalam-carlo.htm,PHI,BOX,Men's Fly (48-52kg),Philippines,Boxing
1935,Gold Medal,1,2021-08-07 00:00:00.0,SOUSA Hebert,M,../../../en/results/boxing/athlete-profile-n1320482-sousa-hebert.htm,BRA,BOX,Men's Middle (69-75kg),Brazil,Boxing
1936,Silver Medal,2,2021-08-07 00:00:00.0,KHYZHNIAK Oleksandr,M,../../../en/results/boxing/athlete-profile-n1477669-khyzhniak-oleksandr.htm,UKR,BOX,Men's Middle (69-75kg),Ukraine,Boxing
1937,Gold Medal,1,2021-08-07 00:00:00.0,KRASTEVA Stoyka Zhelyazkova,W,../../../en/results/boxing/athlete-profile-n1328469-krasteva-stoyka-zhelyazkova.htm,BUL,BOX,Women's Fly (48-51kg),Bulgaria,Boxing
1938,Silver Medal,2,2021-08-07 00:00:00.0,CAKIROGLU Buse Naz,W,../../../en/results/boxing/athlete-profile-n1378429-cakiroglu-buse-naz.htm,TUR,BOX,Women's Fly (48-51kg),Turkey,Boxing
1939,Gold Medal,1,2021-08-07 00:00:00.0,SURMENELI Busenaz,W,../../../en/results/boxing/athlete-profile-n1378436-surmeneli-busenaz.htm,TUR,BOX,Women's Welter (64-69kg),Turkey,Boxing
1940,Silver Medal,2,2021-08-07 00:00:00.0,GU Hong,W,../../../en/results/boxing/athlete-profile-n1306086-gu-hong.htm,CHN,BOX,Women's Welter (64-69kg),People's Republic of China,Boxing
1941,Gold Medal,1,2021-08-07 00:00:00.0,QUEIROZ dos SANTOS Isaquias,M,../../../en/results/canoe-sprint/athlete-profile-n1329188-queiroz-dos-santos-isaquias.htm,BRA,CSP,Men's Canoe Single 1000m,Brazil,Canoe Sprint
1942,Silver Medal,2,2021-08-07 00:00:00.0,LIU Hao,M,../../../en/results/canoe-sprint/athlete-profile-n1324788-liu-hao.htm,CHN,CSP,Men's Canoe Single 1000m,People's Republic of China,Canoe Sprint
1943,Bronze Medal,3,2021-08-07 00:00:00.0,TARNOVSCHI Serghei,M,../../../en/results/canoe-sprint/athlete-profile-n1382333-tarnovschi-serghei.htm,MDA,CSP,Men's Canoe Single 1000m,Republic of Moldova,Canoe Sprint
1944,Gold Medal,1,2021-08-07 00:00:00.0,LEMKE Max,M,../../../en/results/canoe-sprint/athlete-profile-n1333353-lemke-max.htm,GER,CSP,Men's Kayak Four 500m,Germany,Canoe Sprint
1945,Gold Medal,1,2021-08-07 00:00:00.0,LIEBSCHER Tom,M,../../../en/results/canoe-sprint/athlete-profile-n1333354-liebscher-tom.htm,GER,CSP,Men's Kayak Four 500m,Germany,Canoe Sprint
1946,Gold Medal,1,2021-08-07 00:00:00.0,RAUHE Ronald,M,../../../en/results/canoe-sprint/athlete-profile-n1333358-rauhe-ronald.htm,GER,CSP,Men's Kayak Four 500m,Germany,Canoe Sprint
1947,Gold Medal,1,2021-08-07 00:00:00.0,RENDSCHMIDT Max,M,../../../en/results/canoe-sprint/athlete-profile-n1333359-rendschmidt-max.htm,GER,CSP,Men's Kayak Four 500m,Germany,Canoe Sprint
1948,Silver Medal,2,2021-08-07 00:00:00.0,AREVALO Carlos,M,../../../en/results/canoe-sprint/athlete-profile-n1358213-arevalo-carlos.htm,ESP,CSP,Men's Kayak Four 500m,Spain,Canoe Sprint
1949,Silver Medal,2,2021-08-07 00:00:00.0,CRAVIOTTO Saul,M,../../../en/results/canoe-sprint/athlete-profile-n1358222-craviotto-saul.htm,ESP,CSP,Men's Kayak Four 500m,Spain,Canoe Sprint
1950,Silver Medal,2,2021-08-07 00:00:00.0,GERMADE Rodrigo,M,../../../en/results/canoe-sprint/athlete-profile-n1358236-germade-rodrigo.htm,ESP,CSP,Men's Kayak Four 500m,Spain,Canoe Sprint
1951,Silver Medal,2,2021-08-07 00:00:00.0,WALZ Marcus,M,../../../en/results/canoe-sprint/athlete-profile-n1358266-walz-marcus.htm,ESP,CSP,Men's Kayak Four 500m,Spain,Canoe Sprint
1952,Bronze Medal,3,2021-08-07 00:00:00.0,BALAZ Samuel,M,../../../en/results/canoe-sprint/athlete-profile-n1387273-balaz-samuel.htm,SVK,CSP,Men's Kayak Four 500m,Slovakia,Canoe Sprint
1953,Bronze Medal,3,2021-08-07 00:00:00.0,BOTEK Adam,M,../../../en/results/canoe-sprint/athlete-profile-n1387275-botek-adam.htm,SVK,CSP,Men's Kayak Four 500m,Slovakia,Canoe Sprint
1954,Bronze Medal,3,2021-08-07 00:00:00.0,MYSAK Denis,M,../../../en/results/canoe-sprint/athlete-profile-n1387294-mysak-denis.htm,SVK,CSP,Men's Kayak Four 500m,Slovakia,Canoe Sprint
1955,Bronze Medal,3,2021-08-07 00:00:00.0,VLCEK Erik,M,../../../en/results/canoe-sprint/athlete-profile-n1387303-vlcek-erik.htm,SVK,CSP,Men's Kayak Four 500m,Slovakia,Canoe Sprint
1956,Gold Medal,1,2021-08-07 00:00:00.0,SUN Mengya,W,../../../en/results/canoe-sprint/athlete-profile-n1324886-sun-mengya.htm,CHN,CSP,Women's Canoe Double 500m,People's Republic of China,Canoe Sprint
1957,Gold Medal,1,2021-08-07 00:00:00.0,XU Shixiao,W,../../../en/results/canoe-sprint/athlete-profile-n1324992-xu-shixiao.htm,CHN,CSP,Women's Canoe Double 500m,People's Republic of China,Canoe Sprint
1958,Silver Medal,2,2021-08-07 00:00:00.0,LUZAN Liudmyla,W,../../../en/results/canoe-sprint/athlete-profile-n1334797-luzan-liudmyla.htm,UKR,CSP,Women's Canoe Double 500m,Ukraine,Canoe Sprint
1959,Silver Medal,2,2021-08-07 00:00:00.0,CHETVERIKOVA Anastasiia,W,../../../en/results/canoe-sprint/athlete-profile-n1334790-chetverikova-anastasiia.htm,UKR,CSP,Women's Canoe Double 500m,Ukraine,Canoe Sprint
1960,Bronze Medal,3,2021-08-07 00:00:00.0,VINCENT-LAPOINTE Laurence,W,../../../en/results/canoe-sprint/athlete-profile-n1433179-vincent-lapointe-laurence.htm,CAN,CSP,Women's Canoe Double 500m,Canada,Canoe Sprint
1961,Bronze Medal,3,2021-08-07 00:00:00.0,VINCENT Katie,W,../../../en/results/canoe-sprint/athlete-profile-n1433178-vincent-katie.htm,CAN,CSP,Women's Canoe Double 500m,Canada,Canoe Sprint
1962,Gold Medal,1,2021-08-07 00:00:00.0,BODONYI Dora,W,../../../en/results/canoe-sprint/athlete-profile-n1301880-bodonyi-dora.htm,HUN,CSP,Women's Kayak Four 500m,Hungary,Canoe Sprint
1963,Gold Medal,1,2021-08-07 00:00:00.0,KOZAK Danuta,W,../../../en/results/canoe-sprint/athlete-profile-n1302981-kozak-danuta.htm,HUN,CSP,Women's Kayak Four 500m,Hungary,Canoe Sprint
1964,Gold Medal,1,2021-08-07 00:00:00.0,CSIPES Tamara,W,../../../en/results/canoe-sprint/athlete-profile-n1302771-csipes-tamara.htm,HUN,CSP,Women's Kayak Four 500m,Hungary,Canoe Sprint
1965,Gold Medal,1,2021-08-07 00:00:00.0,KARASZ Anna,W,../../../en/results/canoe-sprint/athlete-profile-n1302870-karasz-anna.htm,HUN,CSP,Women's Kayak Four 500m,Hungary,Canoe Sprint
1966,Silver Medal,2,2021-08-07 00:00:00.0,LITVINCHUK Maryna,W,../../../en/results/canoe-sprint/athlete-profile-n1290419-litvinchuk-maryna.htm,BLR,CSP,Women's Kayak Four 500m,Belarus,Canoe Sprint
1967,Silver Medal,2,2021-08-07 00:00:00.0,MAKHNEVA Marharyta,W,../../../en/results/canoe-sprint/athlete-profile-n1290421-makhneva-marharyta.htm,BLR,CSP,Women's Kayak Four 500m,Belarus,Canoe Sprint
1968,Silver Medal,2,2021-08-07 00:00:00.0,PAPOK Nadzeya,W,../../../en/results/canoe-sprint/athlete-profile-n1290422-papok-nadzeya.htm,BLR,CSP,Women's Kayak Four 500m,Belarus,Canoe Sprint
1969,Silver Medal,2,2021-08-07 00:00:00.0,KHUDZENKA Volha,W,../../../en/results/canoe-sprint/athlete-profile-n1290425-khudzenka-volha.htm,BLR,CSP,Women's Kayak Four 500m,Belarus,Canoe Sprint
1970,Bronze Medal,3,2021-08-07 00:00:00.0,NAJA Karolina,W,../../../en/results/canoe-sprint/athlete-profile-n1317117-naja-karolina.htm,POL,CSP,Women's Kayak Four 500m,Poland,Canoe Sprint
1971,Bronze Medal,3,2021-08-07 00:00:00.0,PULAWSKA Anna,W,../../../en/results/canoe-sprint/athlete-profile-n1317114-pulawska-anna.htm,POL,CSP,Women's Kayak Four 500m,Poland,Canoe Sprint
1972,Bronze Medal,3,2021-08-07 00:00:00.0,ISKRZYCKA Justyna,W,../../../en/results/canoe-sprint/athlete-profile-n1317116-iskrzycka-justyna.htm,POL,CSP,Women's Kayak Four 500m,Poland,Canoe Sprint
1973,Bronze Medal,3,2021-08-07 00:00:00.0,WISNIEWSKA Helena,W,../../../en/results/canoe-sprint/athlete-profile-n1317098-wisniewska-helena.htm,POL,CSP,Women's Kayak Four 500m,Poland,Canoe Sprint
1974,Gold Medal,1,2021-08-07 00:00:00.0,HANSEN Lasse Norman,M,../../../en/results/cycling-track/athlete-profile-n1366655-hansen-lasse-norman.htm,DEN,CTR,Men's Madison,Denmark,Cycling Track
1975,Gold Medal,1,2021-08-07 00:00:00.0,MORKOV Michael,M,../../../en/results/cycling-track/athlete-profile-n1366657-morkov-michael.htm,DEN,CTR,Men's Madison,Denmark,Cycling Track
1976,Silver Medal,2,2021-08-07 00:00:00.0,WALLS Matthew,M,../../../en/results/cycling-track/athlete-profile-n1474980-walls-matthew.htm,GBR,CTR,Men's Madison,Great Britain,Cycling Track
1977,Silver Medal,2,2021-08-07 00:00:00.0,HAYTER Ethan,M,../../../en/results/cycling-track/athlete-profile-n1474952-hayter-ethan.htm,GBR,CTR,Men's Madison,Great Britain,Cycling Track
1978,Bronze Medal,3,2021-08-07 00:00:00.0,GRONDIN Donavan,M,../../../en/results/cycling-track/athlete-profile-n1398927-grondin-donavan.htm,FRA,CTR,Men's Madison,France,Cycling Track
1979,Bronze Medal,3,2021-08-07 00:00:00.0,THOMAS Benjamin,M,../../../en/results/cycling-track/athlete-profile-n1398928-thomas-benjamin.htm,FRA,CTR,Men's Madison,France,Cycling Track
1980,Gold Medal,1,2021-08-07 00:00:00.0,CAO Yuan,M,../../../en/results/diving/athlete-profile-n1329531-cao-yuan.htm,CHN,DIV,Men's 10m Platform,People's Republic of China,Diving
1981,Silver Medal,2,2021-08-07 00:00:00.0,YANG Jian,M,../../../en/results/diving/athlete-profile-n1329912-yang-jian.htm,CHN,DIV,Men's 10m Platform,People's Republic of China,Diving
1982,Bronze Medal,3,2021-08-07 00:00:00.0,DALEY Thomas,M,../../../en/results/diving/athlete-profile-n1444126-daley-thomas.htm,GBR,DIV,Men's 10m Platform,Great Britain,Diving
1983,Gold Medal,1,2021-08-07 00:00:00.0,von ECKERMANN Henrik,O,../../../en/results/equestrian/athlete-profile-n1436074-von-eckermann-henrik.htm,SWE,EQU,Jumping Team,Sweden,Equestrian
1984,Gold Medal,1,2021-08-07 00:00:00.0,BARYARD-JOHNSSON Malin,O,../../../en/results/equestrian/athlete-profile-n1436075-baryard-johnsson-malin.htm,SWE,EQU,Jumping Team,Sweden,Equestrian
1985,Gold Medal,1,2021-08-07 00:00:00.0,FREDRICSON Peder,O,../../../en/results/equestrian/athlete-profile-n1436076-fredricson-peder.htm,SWE,EQU,Jumping Team,Sweden,Equestrian
1986,Silver Medal,2,2021-08-07 00:00:00.0,SPRINGSTEEN Jessica,O,../../../en/results/equestrian/athlete-profile-n1451492-springsteen-jessica.htm,USA,EQU,Jumping Team,United States of America,Equestrian
1987,Silver Medal,2,2021-08-07 00:00:00.0,KRAUT Laura,O,../../../en/results/equestrian/athlete-profile-n1451498-kraut-laura.htm,USA,EQU,Jumping Team,United States of America,Equestrian
1988,Silver Medal,2,2021-08-07 00:00:00.0,WARD McLain,O,../../../en/results/equestrian/athlete-profile-n1451510-ward-mclain.htm,USA,EQU,Jumping Team,United States of America,Equestrian
1989,Bronze Medal,3,2021-08-07 00:00:00.0,DEVOS Pieter,O,../../../en/results/equestrian/athlete-profile-n1393569-devos-pieter.htm,BEL,EQU,Jumping Team,Belgium,Equestrian
1990,Bronze Medal,3,2021-08-07 00:00:00.0,GUERY Jerome,O,../../../en/results/equestrian/athlete-profile-n1401970-guery-jerome.htm,BEL,EQU,Jumping Team,Belgium,Equestrian
1991,Bronze Medal,3,2021-08-07 00:00:00.0,WATHELET Gregory,O,../../../en/results/equestrian/athlete-profile-n1401972-wathelet-gregory.htm,BEL,EQU,Jumping Team,Belgium,Equestrian
1992,Gold Medal,1,2021-08-07 00:00:00.0,CLAUDINHO,M,../../../en/results/football/athlete-profile-n1409173-claudinho.htm,BRA,FBL,Men,Brazil,Football
1993,Gold Medal,1,2021-08-07 00:00:00.0,SANTOS,M,../../../en/results/football/athlete-profile-n1351460-santos.htm,BRA,FBL,Men,Brazil,Football
1994,Gold Medal,1,2021-08-07 00:00:00.0,ANTONY,M,../../../en/results/football/athlete-profile-n1351463-antony.htm,BRA,FBL,Men,Brazil,Football
1995,Gold Medal,1,2021-08-07 00:00:00.0,ABNER,M,../../../en/results/football/athlete-profile-n1351464-abner.htm,BRA,FBL,Men,Brazil,Football
1996,Gold Medal,1,2021-08-07 00:00:00.0,BRENNO,M,../../../en/results/football/athlete-profile-n1351475-brenno.htm,BRA,FBL,Men,Brazil,Football
1997,Gold Medal,1,2021-08-07 00:00:00.0,FUCHS Bruno,M,../../../en/results/football/athlete-profile-n1351476-fuchs-bruno.htm,BRA,FBL,Men,Brazil,Football
1998,Gold Medal,1,2021-08-07 00:00:00.0,GUIMARAES Bruno,M,../../../en/results/football/athlete-profile-n1351478-guimaraes-bruno.htm,BRA,FBL,Men,Brazil,Football
1999,Gold Medal,1,2021-08-07 00:00:00.0,DOUGLAS LUIZ,M,../../../en/results/football/athlete-profile-n1351499-douglas-luiz.htm,BRA,FBL,Men,Brazil,Football
2000,Gold Medal,1,2021-08-07 00:00:00.0,ALVES Dani,M,../../../en/results/football/athlete-profile-n1351502-alves-dani.htm,BRA,FBL,Men,Brazil,Football
2001,Gold Medal,1,2021-08-07 00:00:00.0,DIEGO CARLOS,M,../../../en/results/football/athlete-profile-n1351503-diego-carlos.htm,BRA,FBL,Men,Brazil,Football
2002,Gold Medal,1,2021-08-07 00:00:00.0,ARANA Guilherme,M,../../../en/results/football/athlete-profile-n1351537-arana-guilherme.htm,BRA,FBL,Men,Brazil,Football
2003,Gold Medal,1,2021-08-07 00:00:00.0,MENINO Gabriel,M,../../../en/results/football/athlete-profile-n1351539-menino-gabriel.htm,BRA,FBL,Men,Brazil,Football
2004,Gold Medal,1,2021-08-07 00:00:00.0,MARTINELLI Gabriel,M,../../../en/results/football/athlete-profile-n1351544-martinelli-gabriel.htm,BRA,FBL,Men,Brazil,Football
2005,Gold Medal,1,2021-08-07 00:00:00.0,LUCAO,M,../../../en/results/football/athlete-profile-n1351587-lucao.htm,BRA,FBL,Men,Brazil,Football
2006,Gold Medal,1,2021-08-07 00:00:00.0,CUNHA Matheus,M,../../../en/results/football/athlete-profile-n1351612-cunha-matheus.htm,BRA,FBL,Men,Brazil,Football
2007,Gold Medal,1,2021-08-07 00:00:00.0,NINO,M,../../../en/results/football/athlete-profile-n1351613-nino.htm,BRA,FBL,Men,Brazil,Football
2008,Gold Medal,1,2021-08-07 00:00:00.0,MALCOM,M,../../../en/results/football/athlete-profile-n1351620-malcom.htm,BRA,FBL,Men,Brazil,Football
2009,Gold Medal,1,2021-08-07 00:00:00.0,MATHEUS HENRIQUE,M,../../../en/results/football/athlete-profile-n1351630-matheus-henrique.htm,BRA,FBL,Men,Brazil,Football
2010,Gold Medal,1,2021-08-07 00:00:00.0,PAULINHO,M,../../../en/results/football/athlete-profile-n1351638-paulinho.htm,BRA,FBL,Men,Brazil,Football
2011,Gold Medal,1,2021-08-07 00:00:00.0,RICHARLISON,M,../../../en/results/football/athlete-profile-n1351643-richarlison.htm,BRA,FBL,Men,Brazil,Football
2012,Gold Medal,1,2021-08-07 00:00:00.0,REINIER,M,../../../en/results/football/athlete-profile-n1351646-reinier.htm,BRA,FBL,Men,Brazil,Football
2013,Gold Medal,1,2021-08-07 00:00:00.0,GRACA Ricardo,M,../../../en/results/football/athlete-profile-n1351649-graca-ricardo.htm,BRA,FBL,Men,Brazil,Football
2014,Silver Medal,2,2021-08-07 00:00:00.0,ZUBIMENDI Martin,M,../../../en/results/football/athlete-profile-n1402143-zubimendi-martin.htm,ESP,FBL,Men,Spain,Football
2015,Silver Medal,2,2021-08-07 00:00:00.0,GIL Oscar,M,../../../en/results/football/athlete-profile-n1402148-gil-oscar.htm,ESP,FBL,Men,Spain,Football
2016,Silver Medal,2,2021-08-07 00:00:00.0,MINGUEZA Oscar,M,../../../en/results/football/athlete-profile-n1402149-mingueza-oscar.htm,ESP,FBL,Men,Spain,Football
2017,Silver Medal,2,2021-08-07 00:00:00.0,ASENSIO Marco,M,../../../en/results/football/athlete-profile-n1328563-asensio-marco.htm,ESP,FBL,Men,Spain,Football
2018,Silver Medal,2,2021-08-07 00:00:00.0,CEBALLOS Dani,M,../../../en/results/football/athlete-profile-n1328592-ceballos-dani.htm,ESP,FBL,Men,Spain,Football
2019,Silver Medal,2,2021-08-07 00:00:00.0,CUCURELLA Marc,M,../../../en/results/football/athlete-profile-n1328604-cucurella-marc.htm,ESP,FBL,Men,Spain,Football
2020,Silver Medal,2,2021-08-07 00:00:00.0,GIL Bryan,M,../../../en/results/football/athlete-profile-n1329209-gil-bryan.htm,ESP,FBL,Men,Spain,Football
2021,Silver Medal,2,2021-08-07 00:00:00.0,GONZALEZ Pedri,M,../../../en/results/football/athlete-profile-n1329220-gonzalez-pedri.htm,ESP,FBL,Men,Spain,Football
2022,Silver Medal,2,2021-08-07 00:00:00.0,FERNANDEZ Alvaro,M,../../../en/results/football/athlete-profile-n1329251-fernandez-alvaro.htm,ESP,FBL,Men,Spain,Football
2023,Silver Medal,2,2021-08-07 00:00:00.0,TORRES Pau,M,../../../en/results/football/athlete-profile-n1329258-torres-pau.htm,ESP,FBL,Men,Spain,Football
2024,Silver Medal,2,2021-08-07 00:00:00.0,GARCIA Eric,M,../../../en/results/football/athlete-profile-n1329269-garcia-eric.htm,ESP,FBL,Men,Spain,Football
2025,Silver Medal,2,2021-08-07 00:00:00.0,MERINO Mikel,M,../../../en/results/football/athlete-profile-n1332360-merino-mikel.htm,ESP,FBL,Men,Spain,Football
2026,Silver Medal,2,2021-08-07 00:00:00.0,MIR Rafa,M,../../../en/results/football/athlete-profile-n1332363-mir-rafa.htm,ESP,FBL,Men,Spain,Football
2027,Silver Medal,2,2021-08-07 00:00:00.0,MIRANDA Juan,M,../../../en/results/football/athlete-profile-n1332365-miranda-juan.htm,ESP,FBL,Men,Spain,Football
2028,Silver Medal,2,2021-08-07 00:00:00.0,MONCAYOLA Jon,M,../../../en/results/football/athlete-profile-n1332368-moncayola-jon.htm,ESP,FBL,Men,Spain,Football
2029,Silver Medal,2,2021-08-07 00:00:00.0,OLMO Dani,M,../../../en/results/football/athlete-profile-n1332399-olmo-dani.htm,ESP,FBL,Men,Spain,Football
2030,Silver Medal,2,2021-08-07 00:00:00.0,OYARZABAL Mikel,M,../../../en/results/football/athlete-profile-n1332402-oyarzabal-mikel.htm,ESP,FBL,Men,Spain,Football
2031,Silver Medal,2,2021-08-07 00:00:00.0,PUADO Javier,M,../../../en/results/football/athlete-profile-n1334645-puado-javier.htm,ESP,FBL,Men,Spain,Football
2032,Silver Medal,2,2021-08-07 00:00:00.0,SIMON Unai,M,../../../en/results/football/athlete-profile-n1334742-simon-unai.htm,ESP,FBL,Men,Spain,Football
2033,Silver Medal,2,2021-08-07 00:00:00.0,SOLER Carlos,M,../../../en/results/football/athlete-profile-n1334746-soler-carlos.htm,ESP,FBL,Men,Spain,Football
2034,Silver Medal,2,2021-08-07 00:00:00.0,VALLEJO Jesus,M,../../../en/results/football/athlete-profile-n1334762-vallejo-jesus.htm,ESP,FBL,Men,Spain,Football
2035,Silver Medal,2,2021-08-07 00:00:00.0,VILLAR Ivan,M,../../../en/results/football/athlete-profile-n1334773-villar-ivan.htm,ESP,FBL,Men,Spain,Football
2036,Bronze Medal,3,2021-08-07 00:00:00.0,MARTIN Henry,M,../../../en/results/football/athlete-profile-n1409218-martin-henry.htm,MEX,FBL,Men,Mexico,Football
2037,Bronze Medal,3,2021-08-07 00:00:00.0,MALAGON Luis,M,../../../en/results/football/athlete-profile-n1452204-malagon-luis.htm,MEX,FBL,Men,Mexico,Football
2038,Bronze Medal,3,2021-08-07 00:00:00.0,ANGULO Ricardo,M,../../../en/results/football/athlete-profile-n1452249-angulo-ricardo.htm,MEX,FBL,Men,Mexico,Football
2039,Bronze Medal,3,2021-08-07 00:00:00.0,BELTRAN Fernando,M,../../../en/results/football/athlete-profile-n1468605-beltran-fernando.htm,MEX,FBL,Men,Mexico,Football
2040,Bronze Medal,3,2021-08-07 00:00:00.0,AGUIRRE Eduardo,M,../../../en/results/football/athlete-profile-n1300068-aguirre-eduardo.htm,MEX,FBL,Men,Mexico,Football
2041,Bronze Medal,3,2021-08-07 00:00:00.0,AGUIRRE Erick,M,../../../en/results/football/athlete-profile-n1300069-aguirre-erick.htm,MEX,FBL,Men,Mexico,Football
2042,Bronze Medal,3,2021-08-07 00:00:00.0,ALVARADO Roberto,M,../../../en/results/football/athlete-profile-n1300227-alvarado-roberto.htm,MEX,FBL,Men,Mexico,Football
2043,Bronze Medal,3,2021-08-07 00:00:00.0,ANGULO Jesus,M,../../../en/results/football/athlete-profile-n1300344-angulo-jesus.htm,MEX,FBL,Men,Mexico,Football
2044,Bronze Medal,3,2021-08-07 00:00:00.0,ANTUNA Uriel,M,../../../en/results/football/athlete-profile-n1300351-antuna-uriel.htm,MEX,FBL,Men,Mexico,Football
2045,Bronze Medal,3,2021-08-07 00:00:00.0,CORDOVA Sebastian,M,../../../en/results/football/athlete-profile-n1301345-cordova-sebastian.htm,MEX,FBL,Men,Mexico,Football
2046,Bronze Medal,3,2021-08-07 00:00:00.0,ESQUIVEL Joaquin,M,../../../en/results/football/athlete-profile-n1301384-esquivel-joaquin.htm,MEX,FBL,Men,Mexico,Football
2047,Bronze Medal,3,2021-08-07 00:00:00.0,JURADO Sebastian,M,../../../en/results/football/athlete-profile-n1301501-jurado-sebastian.htm,MEX,FBL,Men,Mexico,Football
2048,Bronze Medal,3,2021-08-07 00:00:00.0,LAINEZ Diego,M,../../../en/results/football/athlete-profile-n1301503-lainez-diego.htm,MEX,FBL,Men,Mexico,Football
2049,Bronze Medal,3,2021-08-07 00:00:00.0,LORONA Vladimir,M,../../../en/results/football/athlete-profile-n1301542-lorona-vladimir.htm,MEX,FBL,Men,Mexico,Football
2050,Bronze Medal,3,2021-08-07 00:00:00.0,MONTES Cesar,M,../../../en/results/football/athlete-profile-n1301996-montes-cesar.htm,MEX,FBL,Men,Mexico,Football
2051,Bronze Medal,3,2021-08-07 00:00:00.0,MORA Adrian,M,../../../en/results/football/athlete-profile-n1301999-mora-adrian.htm,MEX,FBL,Men,Mexico,Football
2052,Bronze Medal,3,2021-08-07 00:00:00.0,OCHOA Guillermo,M,../../../en/results/football/athlete-profile-n1302062-ochoa-guillermo.htm,MEX,FBL,Men,Mexico,Football
2053,Bronze Medal,3,2021-08-07 00:00:00.0,RODRIGUEZ Carlos,M,../../../en/results/football/athlete-profile-n1302101-rodriguez-carlos.htm,MEX,FBL,Men,Mexico,Football
2054,Bronze Medal,3,2021-08-07 00:00:00.0,ROMO Luis,M,../../../en/results/football/athlete-profile-n1303033-romo-luis.htm,MEX,FBL,Men,Mexico,Football
2055,Bronze Medal,3,2021-08-07 00:00:00.0,SANCHEZ Jorge,M,../../../en/results/football/athlete-profile-n1303049-sanchez-jorge.htm,MEX,FBL,Men,Mexico,Football
2056,Bronze Medal,3,2021-08-07 00:00:00.0,VASQUEZ Johan,M,../../../en/results/football/athlete-profile-n1303239-vasquez-johan.htm,MEX,FBL,Men,Mexico,Football
2057,Bronze Medal,3,2021-08-07 00:00:00.0,VEGA Alexis,M,../../../en/results/football/athlete-profile-n1303256-vega-alexis.htm,MEX,FBL,Men,Mexico,Football
2058,Gold Medal,1,2021-08-07 00:00:00.0,KORDA Nelly,W,../../../en/results/golf/athlete-profile-n1326376-korda-nelly.htm,USA,GLF,Women's Individual Stroke Play,United States of America,Golf
2059,Silver Medal,2,2021-08-07 00:00:00.0,INAMI Mone,W,../../../en/results/golf/athlete-profile-n1447696-inami-mone.htm,JPN,GLF,Women's Individual Stroke Play,Japan,Golf
